# CurrencyId,RatePlayerCurrencyToCasinoCurrency
EUR,1.000000
SEK,9.000000
JPY,0.008189
CNY,0.135599
RON,0.221166
CZK,0.036994
MXN,0.048053
CAD,0.681153
ZAR,0.057179
AUD,0.643542
NZD,0.605987
GBP,1.287498
NOK,0.107053
ISK,0.007182
CHF,0.904732
UAH,0.035643
RUB,0.013357
ARS,0.063873
INR,0.013266
THB,0.025062
TWD,0.027384
TRY,0.302984
SGD,0.648298
HKD,0.114828
HRK,0.133379
DKK,0.134441
MYR,0.214486
BRL,0.248747
BGN,0.511197
PHP,0.019148
HUF,0.003193
PLN,0.227645
USD,0.892140
EUR,1.000000
JPY,0.008275
CNY,0.134221
RON,0.221621
CZK,0.037007
MXN,0.048300
CAD,0.691706
ZAR,0.059241
AUD,0.654407
NZD,0.625234
GBP,1.273561
NOK,0.107958
ISK,0.007186
CHF,0.915499
UAH,0.035184
RUB,0.013717
ARS,0.063406
INR,0.013197
THB,0.025006
TWD,0.027352
TRY,0.304081
SGD,0.651211
HKD,0.113479
HRK,0.132716
DKK,0.134477
MYR,0.217358
BGN,0.511364
PHP,0.019137
HUF,0.003213
PLN,0.230601
USD,0.880824
EUR,1.000000
JPY,0.008301
CNY,0.135029
RON,0.221504
CZK,0.037000
MXN,0.048207
CAD,0.695072
ZAR,0.058985
AUD,0.655996
NZD,0.629644
GBP,1.277466
NOK,0.107847
ISK,0.007204
CHF,0.918105
UAH,0.035417
RUB,0.013689
ARS,0.064138
INR,0.013258
THB,0.025140
TWD,0.027419
TRY,0.303582
SGD,0.653168
HKD,0.114163
HRK,0.132728
DKK,0.134490
MYR,0.217917
BRL,0.260429
BGN,0.511269
PHP,0.019223
HUF,0.003207
PLN,0.229153
USD,0.886132
EUR,1.000000
JPY,0.008381
CNY,0.134807
RON,0.221332
CZK,0.037002
MXN,0.047389
CAD,0.695314
ZAR,0.058414
AUD,0.657160
NZD,0.627549
GBP,1.257387
NOK,0.107320
ISK,0.007204
CHF,0.919625
UAH,0.035628
RUB,0.013499
ARS,0.064300
INR,0.013228
THB,0.025228
TWD,0.027418
TRY,0.303610
SGD,0.654450
HKD,0.114389
HRK,0.132621
DKK,0.134490
MYR,0.216779
BRL,0.259822
BGN,0.511444
PHP,0.019252
HUF,0.003201
PLN,0.227645
USD,0.888021
EUR,1.000000
JPY,0.008419
CNY,0.135166
RON,0.221141
CZK,0.036979
MXN,0.046987
CAD,0.693481
ZAR,0.058049
AUD,0.654407
NZD,0.624454
GBP,1.262148
NOK,0.106623
ISK,0.007200
CHF,0.922594
UAH,0.035753
RUB,0.013481
ARS,0.064608
INR,0.013251
THB,0.025257
TWD,0.027513
TRY,0.303610
SGD,0.657289
HKD,0.114875
HRK,0.132874
DKK,0.134488
MYR,0.216948
BRL,0.256568
BGN,0.511477
PHP,0.019224
HUF,0.003187
PLN,0.225917
USD,0.891504
EUR,1.000000
JPY,0.008381
CNY,0.135340
RON,0.220531
CZK,0.036946
MXN,0.047233
CAD,0.693963
ZAR,0.058360
AUD,0.659370
NZD,0.626841
GBP,1.264382
NOK,0.106910
ISK,0.007210
CHF,0.923361
UAH,0.035781
RUB,0.013540
ARS,0.064865
INR,0.013279
THB,0.025274
TWD,0.027469
TRY,0.304090
SGD,0.657851
HKD,0.114805
HRK,0.132876
DKK,0.134490
MYR,0.217505
BRL,0.256080
BGN,0.511422
PHP,0.019234
HUF,0.003185
PLN,0.226444
USD,0.890948
EUR,1.000000
JPY,0.008541
CNY,0.135173
RON,0.220192
CZK,0.036947
MXN,0.047059
CAD,0.685965
ZAR,0.058013
AUD,0.655695
NZD,0.627274
GBP,1.260875
NOK,0.106559
ISK,0.007219
CHF,0.924813
UAH,0.035787
RUB,0.013523
ARS,0.064823
INR,0.013239
THB,0.025255
TWD,0.027498
TRY,0.303822
SGD,0.658545
HKD,0.114737
HRK,0.132874
DKK,0.134488
MYR,0.217188
BRL,0.256433
BGN,0.511455
PHP,0.019173
HUF,0.003176
PLN,0.225149
USD,0.890393
EUR,1.000000
JPY,0.008524
CNY,0.134800
RON,0.220546
CZK,0.036941
MXN,0.047050
CAD,0.687380
ZAR,0.058265
AUD,0.656254
NZD,0.626135
GBP,1.266624
NOK,0.105925
ISK,0.007199
CHF,0.922509
UAH,0.035690
RUB,0.013614
ARS,0.063904
INR,0.013223
THB,0.025210
TWD,0.027459
TRY,0.302856
SGD,0.657981
HKD,0.114494
HRK,0.133013
DKK,0.134479
MYR,0.216455
BRL,0.256382
BGN,0.511246
PHP,0.019127
HUF,0.003177
PLN,0.225033
USD,0.888494
EUR,1.000000
JPY,0.008447
CNY,0.134061
RON,0.220308
CZK,0.036948
MXN,0.047316
CAD,0.688753
ZAR,0.059252
AUD,0.657938
NZD,0.628180
GBP,1.291322
NOK,0.106525
ISK,0.007157
CHF,0.919625
UAH,0.035444
RUB,0.013754
ARS,0.063487
INR,0.013087
THB,0.025059
TWD,0.027373
TRY,0.304229
SGD,0.656599
HKD,0.113706
HRK,0.133038
DKK,0.134477
MYR,0.217217
BRL,0.258344
BGN,0.511672
PHP,0.019079
HUF,0.003193
PLN,0.227190
USD,0.882379
EUR,1.000000
JPY,0.008441
CNY,0.133941
RON,0.220143
CZK,0.036952
MXN,0.047523
CAD,0.690655
ZAR,0.060161
AUD,0.660982
NZD,0.630517
GBP,1.301067
NOK,0.106709
ISK,0.007202
CHF,0.919625
UAH,0.035413
RUB,0.013754
ARS,0.063450
INR,0.013052
THB,0.025064
TWD,0.027361
TRY,0.304146
SGD,0.657635
HKD,0.113640
HRK,0.133046
DKK,0.134485
MYR,0.218890
BRL,0.259313
BGN,0.511073
PHP,0.019036
HUF,0.003191
PLN,0.227879
USD,0.881601
EUR,1.000000
JPY,0.008474
CNY,0.134617
RON,0.220629
CZK,0.036943
MXN,0.047409
CAD,0.693385
ZAR,0.060186
AUD,0.664099
NZD,0.634035
GBP,1.300728
NOK,0.106923
ISK,0.007201
CHF,0.923446
UAH,0.035583
RUB,0.013830
ARS,0.063471
INR,0.013122
THB,0.025142
TWD,0.027513
TRY,0.304785
SGD,0.660589
HKD,0.114160
HRK,0.133004
DKK,0.134443
MYR,0.219679
BRL,0.259332
BGN,0.510880
PHP,0.019017
HUF,0.003177
PLN,0.227884
USD,0.885661
EUR,1.000000
JPY,0.008368
CNY,0.133543
RON,0.221342
CZK,0.036950
MXN,0.048044
CAD,0.690465
ZAR,0.060878
AUD,0.666089
NZD,0.635405
GBP,1.305483
NOK,0.107326
ISK,0.007204
CHF,0.921234
UAH,0.035264
RUB,0.013715
ARS,0.062395
INR,0.013048
THB,0.024957
TWD,0.027396
TRY,0.305083
SGD,0.657505
HKD,0.113173
HRK,0.132922
DKK,0.134414
MYR,0.219882
BRL,0.259858
BGN,0.511365
PHP,0.018900
HUF,0.003183
PLN,0.228985
USD,0.877809
EUR,1.000000
JPY,0.008751
CNY,0.136132
RON,0.220405
CZK,0.036899
MXN,0.047418
CAD,0.692377
ZAR,0.059570
AUD,0.666445
NZD,0.636618
GBP,1.250313
NOK,0.106173
ISK,0.007251
CHF,0.924642
UAH,0.036217
RUB,0.013743
ARS,0.062640
INR,0.013262
THB,0.025476
TWD,0.027828
TRY,0.306852
SGD,0.664540
HKD,0.116102
HRK,0.133025
DKK,0.134450
MYR,0.219703
BRL,0.269860
BGN,0.511527
PHP,0.019206
HUF,0.003154
PLN,0.224054
USD,0.900901
